CustomerID,SeniorCitizen,Tenure,Contract,InternetService,TechSupport,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-10072,0,1,Month-to-month,Fiber optic,No,Electronic check,80.66,80.66,No
CUST-10073,0,50,One year,No,Yes,Credit card,73.91,3695.5,No
CUST-10074,0,36,One year,DSL,Yes,Bank transfer,72.51,2610.36,No
CUST-10075,0,39,Two year,No,No internet service,Electronic check,75.39,2940.21,No
CUST-10076,0,44,Month-to-month,Fiber optic,No,Credit card,44.6,1962.4,No
CUST-10077,0,2,Month-to-month,DSL,No internet service,Credit card,71.97,143.94,No
CUST-10078,0,13,Two year,No,Yes,Credit card,73.79,959.27,No
CUST-10079,0,3,Month-to-month,DSL,No,Bank transfer,43.57,130.71,Yes
CUST-10080,0,59,Month-to-month,DSL,No,Bank transfer,120.0,7080.0,No
CUST-10081,0,29,Month-to-month,No,No,Mailed check,79.21,2297.09,No
CUST-10082,0,12,Month-to-month,No,No,Credit card,29.26,351.12,Yes
CUST-10083,0,1,Two year,Fiber optic,No,Credit card,84.7,84.7,No
CUST-10084,1,11,Two year,Fiber optic,No,Electronic check,35.76,393.36,No
CUST-10085,1,11,One year,Fiber optic,No internet service,Electronic check,88.61,974.71,No
CUST-10086,0,39,Month-to-month,DSL,No internet service,Mailed check,99.76,3890.64,No
CUST-10087,0,30,Month-to-month,DSL,No internet service,Credit card,40.38,1211.4,Yes
CUST-10088,0,65,Month-to-month,Fiber optic,Yes,Credit card,93.9,6103.5,Yes
CUST-10089,0,19,Month-to-month,Fiber optic,No,Electronic check,77.38,1470.22,Yes
CUST-10090,0,3,Month-to-month,No,No internet service,Bank transfer,89.66,268.98,No
CUST-10091,0,37,One year,No,Yes,Mailed check,120.0,4440.0,Yes
CUST-10092,0,42,One year,DSL,Yes,Credit card,57.64,2420.88,No
CUST-10093,0,24,Month-to-month,Fiber optic,No,Credit card,42.39,1017.36,Yes
CUST-10094,0,44,Two year,DSL,No,Credit card,38.31,1685.64,No
CUST-10095,0,20,One year,Fiber optic,No internet service,Mailed check,40.53,810.6,No
CUST-10096,0,22,One year,Fiber optic,Yes,Mailed check,62.69,1379.18,No
CUST-10097,0,16,One year,No,No internet service,Electronic check,75.23,1203.68,No
CUST-10098,0,1,Month-to-month,Fiber optic,Yes,Electronic check,73.3,73.3,No
CUST-10099,0,3,Month-to-month,DSL,Yes,Credit card,89.82,269.46,No
